"","Site","campaign","habitat","drying_regime","flow_state","mean_mg_N2ON_m2_d","mean_soil_temp","mean_soil_VWC","mean_pool_riffle_depth_cm","sed_temp","sed_VWC","Air_temp","Temp_water_C","Mean_Velocity..m.s.","bedrock","boulders","cobbles","gravel","sand","silt","Sed_OM","DO_mg_L","pH","cond_us_cm","Freq_Flow","Freq_Dry","Freq_Ponded","latitude","longitude","m_to_source","freq_flow_2021","freq_dry_2021","freq_pool_2021","freqflow7","freqflow30","freqdry7","freqdry30","freqpool7","freqpool30","Tsince_manual","percent_C","percent_N","CN_ratio","Canopy_Cover_Benth","Stock_Benth_g.m2","Ave.wet.width_m","Embeddedness","Discharge_l_s","masl","length.IR.up","length.PR.up","percent.IR.up","percent.PR.up","Max..wetted.width..m.","Min..wetted.width..m.","Bankfull.at.max..wetted.width..m.","Bankfull.at.min..wetted.width..m.","MeanDur_Ponded","MeanDur_Dry","MeanDur_Flow","MaxDur_Ponded","MaxDur_Dry","MaxDur_Flow","sed_pH","sed_cond_uS_cm","NO3_N_mg_l","DN_ugL","DOC_ugL","SRP_ugL","NH4_N_ugL","In_stream_N2O_mg_m2_d","aquatic_conditions.x","aquatic_conditions.y"
"90","CA02","7","Riparian","perennial","flowing",0.0703531875612281,5.03333333333333,0.36325,NA,NA,NA,3.848,NA,NA,NA,NA,NA,NA,NA,NA,1.03,NA,NA,386,1,0,0,45.920551,5.442415,9170.02,1,0,0,1,1,0,0,0,0,NA,8.475246702,0.265200868,31.9578392254734,NA,5.986889182,6.4,5,NA,372,4543.3,9722.4,27.93693544,59.7834308,8.6,3.8,15,10,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.875841789922619,"Flowing","Flowing"
"91","CO01","1","Flowing","perennial","flowing",0.0993535014245218,NA,NA,7.96666666666667,NA,NA,18.5833333333333,3.3,0.0951,5,0,32,58,5,0,1.69,10.58,7.42,322,1,0,0,46.056561,5.617871,512.2979,1,0,0,1,1,0,0,0,0,NA,0.636783219,0.099001944,6.43202742564328,48,1.911206727,1.3,0,0.007,909,0,1150.2,0,100,1.8,1.2,3,1.1,0,0,NA,0,0,NA,7.47,1005,0.713,737.5,3756,1,1,0.0993535014245218,"Flowing","Flowing"
"92","CO01","1","Riparian","perennial","flowing",0.0161641163189151,1.85,0.312333333333334,NA,NA,NA,18.5833333333333,NA,NA,NA,NA,NA,NA,NA,NA,1.69,NA,NA,322,1,0,0,46.056561,5.617871,512.2979,1,0,0,1,1,0,0,0,0,NA,17.43896936,0.810214218,21.5238994485283,NA,1.911206727,1.3,0,NA,909,0,1150.2,0,100,1.8,1.2,3,1.1,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0993535014245218,"Flowing","Flowing"
"93","CO01","3","Flowing","perennial","flowing",2.58484556550179,NA,NA,18.25,NA,NA,16.99825,14.5,0.3615,5,2,49,39,5,0,4.39,7.45,7.28,301,1,0,0,46.056561,5.617871,512.2979,1,0,0,1,1,0,0,0,0,NA,0.738330293,0.126058865,5.85702792897588,48,1.225683934,1.3,0,0.041,909,0,1150.2,0,100,1.9,0.9,3,1.1,0,0,NA,0,0,NA,7.46,908,0.671,912.5,9393,2,25,2.58484556550179,"Flowing","Flowing"
"94","CO01","3","Riparian","perennial","flowing",0.246806912244387,13.2,0.354266666666667,NA,NA,NA,16.9414,NA,NA,NA,NA,NA,NA,NA,NA,4.39,NA,NA,301,1,0,0,46.056561,5.617871,512.2979,1,0,0,1,1,0,0,0,0,NA,12.72139345,0.715058543,17.7907019985076,NA,1.225683934,1.3,0,NA,909,0,1150.2,0,100,1.9,0.9,3,1.1,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2.58484556550179,"Flowing","Flowing"
"95","CO01","5","Flowing","perennial","flowing",-0.00231167603334671,NA,NA,8.25,NA,NA,13.678,10.6,0.0456,5,0,80,10,5,0,1.75,8.96,7.76,423,1,0,0,46.056561,5.617871,512.2979,1,0,0,1,1,0,0,0,0,NA,0.881689707,0.131665498,6.69643695875437,48,0.838435552,1.15,0,0.003,909,0,1150.2,0,100,1.6,0.8,3,1.1,0,0,NA,0,0,NA,8.05,147.2,0.185,525,5738.5,1,20,-0.00231167603334671,"Flowing","Flowing"
"96","CO01","5","Riparian","perennial","flowing",0.0433567020568748,13.3,0.277166666666667,NA,NA,NA,13.678,NA,NA,NA,NA,NA,NA,NA,NA,1.75,NA,NA,423,1,0,0,46.056561,5.617871,512.2979,1,0,0,1,1,0,0,0,0,NA,12.53722303,0.667703216,18.7766401742178,NA,0.838435552,1.15,0,NA,909,0,1150.2,0,100,1.6,0.8,3,1.1,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,-0.00231167603334671,"Flowing","Flowing"
"97","CO01","7","Flowing","perennial","flowing",-0.00350909647516676,NA,NA,11.4,NA,NA,3.2184,4,0.0197,5,1,69,25,0,0,1.64,10.83,8.19,435,1,0,0,46.056561,5.617871,512.2979,1,0,0,1,1,0,0,0,0,NA,0.911139534,0.116805206,7.80050449121249,48,2.572614752,0.9,0,0.001,909,0,1150.2,0,100,1.4,0.3,1.2,3,0,0,NA,0,0,NA,7.95,1097,0.166,311.5,3882,1,4,-0.00350909647516676,"Flowing","Flowing"
"98","CO01","7","Riparian","perennial","flowing",0.015378798531229,3.44666666666667,NA,NA,NA,NA,3.3432,NA,NA,NA,NA,NA,NA,NA,NA,1.64,NA,NA,435,1,0,0,46.056561,5.617871,512.2979,1,0,0,1,1,0,0,0,0,NA,32.39252833,1.976896672,16.3855444691648,NA,2.572614752,0.9,0,NA,909,0,1150.2,0,100,1.4,0.3,1.2,3,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,-0.00350909647516676,"Flowing","Flowing"
"99","GR01","1","Flowing","intermittent_moderate","flowing",0.112483864065936,NA,NA,15.65,NA,NA,6.08333333333333,8.5,0.303545455,25,5,55,15,0,0,4.26,11.32,8.3,486,0.828651685,0.101123596,0.070224719,45.917338,5.456714,928.713,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,1.602030606,0.157216419,10.1899700819416,87,0.201961433,2.5,25,0.041,394,1872.8,482.7,79.50753556,20.49246444,3.4,1.9,8,5,3.75,9,31.25,9,20,101,7.6,691,0.157,210.5,2032,1,2,0.112483864065936,"Flowing","Flowing"
